font1,back1,Lng,Lat,Fid,font2,font3,font4,font5,back2,back3,back4,back5
87.92714623,267.9271462,9.189120071,45.44313574,1,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.189375025,45.44314222,2,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.18962998,45.44314869,3,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.189884934,45.44315517,4,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.190139889,45.44316164,5,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.190394844,45.44316812,6,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.190649798,45.44317459,7,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.190904753,45.44318107,8,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.191159707,45.44318754,9,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.191414662,45.44319401,10,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.191669617,45.44320049,11,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.191924571,45.44320696,12,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.192179526,45.44321344,13,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.19243448,45.44321991,14,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.192689435,45.44322639,15,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.19294439,45.44323286,16,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.193199344,45.44323933,17,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.193454299,45.44324581,18,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.193709253,45.44325228,19,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.193964208,45.44325876,20,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
87.92714623,267.9271462,9.194219163,45.44326523,21,117.9271462,147.9271462,57.92714623,27.92714623,297.9271462,327.9271462,237.9271462,207.9271462
73.12348274,253.1234827,9.210676237,45.46494275,22,103.1234827,133.1234827,43.12348274,13.12348274,283.1234827,313.1234827,223.1234827,193.1234827
73.12348274,253.1234827,9.210920371,45.4649947,23,103.1234827,133.1234827,43.12348274,13.12348274,283.1234827,313.1234827,223.1234827,193.1234827
73.12348274,253.1234827,9.211164505,45.46504664,24,103.1234827,133.1234827,43.12348274,13.12348274,283.1234827,313.1234827,223.1234827,193.1234827
73.12348274,253.1234827,9.211408639,45.46509859,25,103.1234827,133.1234827,43.12348274,13.12348274,283.1234827,313.1234827,223.1234827,193.1234827
73.12348274,253.1234827,9.211652773,45.46515053,26,103.1234827,133.1234827,43.12348274,13.12348274,283.1234827,313.1234827,223.1234827,193.1234827
73.12348274,253.1234827,9.211896907,45.46520248,27,103.1234827,133.1234827,43.12348274,13.12348274,283.1234827,313.1234827,223.1234827,193.1234827
