angle,Lng,Lat,Fid
35.59191091,9.2300902,45.5083402,16222
101.6819545,9.227735401,45.51939773,16223
282.1206623,9.224958167,45.51679572,16224
102.1123856,9.22162002,45.51797231,16225
102.2971849,9.2207418,45.5181047,16226
84.03300697,9.228624949,45.5091526,16227
84.02222309,9.227731524,45.509087,16228
180.85129840000002,9.2243414,45.5046236,16229
84.00781308,9.22951836,45.50921829999999,16230
104.4449502,9.1240579,45.472970700000005,16231
281.06895760000003,9.1242424,45.4730893,16232
110.0763978,9.1243386,45.472769799999995,16233
283.8373373,9.1244888,45.472902600000005,16234
23.943329199999997,9.242828845,45.48524065,16235
29.42071913,9.2424098,45.4846839,16236
283.9339952,9.1239011,45.47334779999999,16237
335.09533230000005,9.158212800000001,45.4457511,16238
178.8249743,9.1627125,45.437304299999994,16239
195.2115923,9.158277164,45.42554634,16240
196.0953388,9.158515798,45.42615414,16241
358.2555383,9.0891093,45.4781615,16242
197.6193756,9.089202400000001,45.4833196,16243
147.3199926,9.1644485,45.4348258,16244
329.91388839999996,9.1634007,45.430427200000004,16245
175.4700556,9.2239444,45.5040101,16246
314.6403347,9.231660204,45.49835689,16247
98.49505605,9.244954,45.481751700000004,16248
187.77103219999998,9.221129800000002,45.4968336,16249
249.5622684,9.230990534,45.4935103,16250
215.4848611,9.220745694,45.49627295,16251
305.0704704,9.242087166000001,45.47255458,16252
22.61798894,9.220427379,45.49024202,16253
281.68139560000003,9.244566382999999,45.47184148,16254
275.18307410000006,9.2454565,45.4717591,16255
298.70831519999996,9.242868595,45.47224426,16256
287.26574320000003,9.243701358,45.47201022,16257
240.39274019999996,9.132106257,45.46241826,16258
264.8769497,9.1328966,45.4627107,16259
240.39274019999996,9.130544208,45.46179569,16260
240.39274019999996,9.131325232,45.46210698,16261
36.77702441,9.1710719,45.4574427,16262
225.8529491,9.172065199999999,45.458154799999996,16263
134.0032388,9.17509335,45.45604741,16264
138.18075869999998,9.1744487,45.4564862,16265
337.3982037,9.147358345,45.44387172,16266
350.4725577,9.1475984,45.443268100000004,16267
290.9197119,9.2149226,45.5232451,16268
337.3982037,9.147013099999999,45.44445358,16269
241.4919691,9.128979915,45.4611761,16270
240.39274019999996,9.129763184,45.46148441,16271
298.0373841,9.135263514,45.46211515,16272
21.53852522,9.2014945,45.4935542,16273
260.1057308,9.163334599999999,45.4451406,16274
147.484048,9.159216,45.4432954,16275
352.21786010000005,9.201496945,45.49417689,16276
174.5318936,9.1636909,45.4589932,16277
220.80391980000005,9.155869500000001,45.458303,16278
3.15856997,9.13026235,45.46365798,16279
3.049180222,9.1302127,45.4630289,16280
